A1BG	19	63551643	63565932
A1CF	10	52271589	52315441
A2M	12	9111570	9159825
A2ML1	12	8911704	8930864
A3GALT2	1	33544953	33559286
A4GALT	22	41418839	41419901
A4GNT	3	139325249	139333919
AAAS	12	51987506	52001679
AACS	12	124155649	124193824
AADAC	3	153014550	153028966
AADACL2	3	152934404	152958242
AADACL3	1	12698704	12711313
AADACL4	1	12627152	12649684
AADAT	4	171217947	171247947
AAK1	2	69624874	69724481
AAMP	2	218837095	218843137
AANAT	17	71975245	71977794
AARS	16	68843797	68880913
AARS2	6	44374440	44389041
AARSD1	17	38373687	38385818
AASDH	4	56942681	56948395
AASDHPPT	11	105466486	105474629
AASS	7	121503422	121571504
AATF	17	32380287	32488284
AATK	17	76705690	76754467
ABAT	16	8722073	8785933
ABCA1	9	106663540	106730257
ABCA10	17	64704799	64736596
ABCA12	2	215504510	215711396
ABCA13	7	48465179	48657637
ABCA2	9	139033713	139038113
ABCA3	16	2313344	2319856
ABCA4	1	94248520	94256816
ABCA5	17	64781694	64834885
ABCA6	17	64642960	64649610
ABCA7	19	1009616	1016570
ABCA8	17	64439518	64463128
ABCA9	17	64550651	64568731
ABCB1	7	87067368	87180500
ABCB10	1	227718951	227761065
ABCB11	2	169487694	169596079
ABCB4	7	86919647	86942723
ABCB5	7	20728800	20735390
ABCB6	2	219782737	219793418
ABCB7	X	74189829	74292857
ABCB8	7	150356442	150375802
ABCB9	12	121989951	122010822
ABCC1	16	16015848	16057919
ABCC10	6	43511466	43526141
ABCC11	16	46758322	46826589
ABCC12	16	46712651	46747430
ABCC2	10	101532452	101601652
ABCC3	17	46111258	46124062
ABCC4	13	94616412	94751688
ABCC5	3	185201145	185218421
ABCC6	16	16222544	16224829
ABCC8	11	17371007	17455025
ABCC9	12	21967171	21985603
ABCD1	X	152661852	152663374
ABCD2	12	38231288	38300110
ABCD3	1	94719636	94756807
ABCD4	14	73828742	73839512
ABCE1	4	146238605	146270126
ABCF2	7	150540508	150555250
ABCF3	3	185389235	185394489
ABCG1	21	42579058	42588512
ABCG2	4	89271978	89299483
ABCG4	11	118529937	118530063
